# time	lat	lon	hdop
2018-12-19T14:19:33Z	51.0481283	3.7286483	12.8
2018-12-19T14:19:35Z	51.048115	3.7287867	12.5
2018-12-19T14:19:37Z	51.0480917	3.72891	11.9
2018-12-19T14:19:38Z	51.0480917	3.7289633	11.9
2018-12-19T14:19:39Z	51.0481	3.7290017	11.5
2018-12-19T14:19:41Z	51.048115	3.729065	10.3
2018-12-19T14:19:42Z	51.0481167	3.7290967	8.9
2018-12-19T14:19:44Z	51.04811	3.72918	9.2
2018-12-19T14:19:46Z	51.0481	3.7293083	11
2018-12-19T14:19:47Z	51.0480917	3.7293983	12.3
2018-12-19T14:19:49Z	51.04806	3.72959	12.7
2018-12-19T14:19:51Z	51.0480233	3.729795	13.2
2018-12-19T14:19:53Z	51.048005	3.7299933	13.1
2018-12-19T14:19:54Z	51.0480033	3.7300867	12.6
2018-12-19T14:19:55Z	51.0480017	3.7301717	11.7
2018-12-19T14:19:58Z	51.047995	3.730325	11.1
2018-12-19T14:20:01Z	51.0480317	3.7305517	11.3
2018-12-19T14:20:03Z	51.048085	3.7307717	11.1
2018-12-19T14:20:05Z	51.0481083	3.7309383	11.2
2018-12-19T14:20:07Z	51.048085	3.7311117	11.6
2018-12-19T14:20:09Z	51.048015	3.7312267	11
2018-12-19T14:20:10Z	51.0479683	3.73126	11.2
2018-12-19T14:20:12Z	51.0478683	3.731315	10.9
2018-12-19T14:20:15Z	51.0477783	3.7313633	11
2018-12-19T14:20:16Z	51.04769	3.731425	10.8
2018-12-19T14:20:21Z	51.0475133	3.7315433	10.7
2018-12-19T14:20:23Z	51.0474283	3.7316283	10.1
2018-12-19T14:20:25Z	51.047355	3.7317283	10.8
2018-12-19T14:20:26Z	51.04729	3.7319183	10
2018-12-19T14:20:27Z	51.0472683	3.7319817	8.5
2018-12-19T14:20:28Z	51.04726	3.7320383	8.3
2018-12-19T14:20:30Z	51.0472617	3.7321233	7.2
2018-12-19T14:20:31Z	51.0472667	3.7321633	7.5
2018-12-19T14:20:33Z	51.047275	3.7322017	7.2
2018-12-19T14:20:34Z	51.0472833	3.7322733	6.6
2018-12-19T14:20:37Z	51.0472917	3.7323533	8.3
2018-12-19T14:20:39Z	51.0472817	3.7324467	8.1
2018-12-19T14:20:40Z	51.04722	3.7324933	8.8
2018-12-19T14:20:42Z	51.0471517	3.73254	9.6
2018-12-19T14:20:44Z	51.04709	3.7325883	9.5
2018-12-19T14:20:45Z	51.047065	3.7326083	8.6
2018-12-19T14:20:46Z	51.0470467	3.7326367	8.2
2018-12-19T14:20:47Z	51.0470333	3.7326717	8.1
2018-12-19T14:20:49Z	51.046995	3.7326667	10
2018-12-19T14:20:50Z	51.047	3.7327383	10.5
2018-12-19T14:20:53Z	51.0470517	3.73287	11.7
2018-12-19T14:20:54Z	51.0471067	3.73305	12.9
2018-12-19T14:20:56Z	51.0471383	3.7331317	12.5
2018-12-19T14:20:57Z	51.047225	3.7332767	12.6
2018-12-19T14:20:59Z	51.0473	3.7334233	12.1
2018-12-19T14:21:01Z	51.047335	3.7334933	12.1
2018-12-19T14:21:02Z	51.0473983	3.7336317	11
2018-12-19T14:21:03Z	51.0474283	3.7336983	11.5
2018-12-19T14:21:05Z	51.0474783	3.73384	10.8
2018-12-19T14:21:06Z	51.0474967	3.733915	11.2
2018-12-19T14:21:08Z	51.0475567	3.73403	10
2018-12-19T14:21:10Z	51.0475867	3.73417	11.8
2018-12-19T14:21:11Z	51.0476033	3.73424	11
2018-12-19T14:21:13Z	51.04763	3.7343017	11.4
2018-12-19T14:21:16Z	51.047705	3.7345233	12.1
2018-12-19T14:21:17Z	51.0477617	3.7346583	11.4
2018-12-19T14:21:18Z	51.0477883	3.7347267	11.8
2018-12-19T14:21:20Z	51.047845	3.734865	11.6
2018-12-19T14:21:22Z	51.0478933	3.735015	11.4
2018-12-19T14:21:23Z	51.0479133	3.7350817	10.9
2018-12-19T14:21:25Z	51.0479667	3.7351867	9.8
2018-12-19T14:21:27Z	51.04802	3.7352867	9.7
2018-12-19T14:21:29Z	51.0480667	3.7353917	9.3
